indicator,port,last_seen,threat,threat_type,confidence,tlp,type
179.43.162.79,443,2023-01-18 16:08:47.330000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.154.157,443,2023-01-18 16:09:05.523000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
62.233.50.246,443,2023-01-18 16:09:04.607000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
host-88-210-12-126.hosted-by-vdsina.ru,443,2023-01-18 16:09:06.700000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,domain-name
179.43.142.142,443,2023-01-18 16:09:09.949000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
5.44.251.17,443,2023-01-18 16:09:09.709000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
host-89-22-230-175.hosted-by-vdsina.ru,443,2023-01-18 16:09:11.041000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,domain-name
212.23.222.49,443,2023-01-18 16:09:09.919000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.187.95,443,2023-01-18 16:08:42.742000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.176.78,443,2023-01-18 16:09:08.331000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.175.34,443,2023-01-18 16:09:07.886000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
myevent22.net,443,2023-01-18 16:08:57.379000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,domain-name
179.43.155.136,443,2023-01-18 16:08:52.306000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.142.40,443,2023-01-18 16:09:09.931000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.163.118,443,2023-01-18 16:09:08.291000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
static.160.190.46.78.clients.your-server.de,443,2023-01-18 16:09:10.645000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,domain-name
79.137.194.240,443,2023-01-18 16:09:03.848000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
79.137.202.78,443,2023-01-18 16:09:03.679000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.175.230,443,2023-01-18 16:08:47.329000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
185.209.160.99,443,2023-01-18 16:09:10.062000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
216.250.255.149,80,2023-01-18 16:09:04.627000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
179.43.162.115,443,2023-01-18 16:09:08.292000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
152.89.198.59,443,2023-01-18 16:09:04.626000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,ipv4-addr
elon-first.com,443,2023-01-18 16:08:46.360000+00:00,Rhadamanthys,c2.http.management,Medium,CLEAR,domain-name
